lp,ID_Mapa,InnerLnd,Area_Code,Area_Name,X1_All_1674_in_work,X1_comm_bike,X1_proc_comm_bike,X15_pop,x4_asian_pr,x4_black_pr,X9_PLG_cars_Private,X10sum_LCN_LCNpl,Xcity,x20roads
21,0,0,E09000021,Kingston upon Thames,81957,3351,4.1,178000,15,3,63188,108000,0,344300
8,1,0,E09000008,Croydon,172987,2172,1.3,387000,20,18,132304,178000,0,776700
6,2,0,E09000006,Bromley,151368,2254,1.5,330000,8,5,141088,183000,0,902600
18,3,0,E09000018,Hounslow,127032,4160,3.3,278000,35,9,90401,223000,0,503300
9,4,0,E09000009,Ealing,164820,4944,3,348000,33,8,105666,170000,0,589400
16,5,0,E09000016,Havering,112846,1020,0.9,253000,5,4,108268,90000,0,658800
17,6,0,E09000017,Hillingdon,130290,1936,1.5,307000,31,5,117480,234000,0,761800
15,7,0,E09000015,Harrow,113900,901,0.8,252000,42,4,95689,118000,0,476200
5,8,0,E09000005,Brent,147461,3859,2.6,333000,31,19,83919,147000,0,489500
3,9,0,E09000003,Barnet,170658,2473,1.4,391000,15,4,132590,163000,0,765800
22,10,1,E09000022,Lambeth,166494,13455,8.1,329000,4,20,60332,114000,0,377000
28,11,1,E09000028,Southwark,147388,10898,7.4,317000,9,22,53014,146000,0,391200
23,12,1,E09000023,Lewisham,136057,5375,4,304000,9,21,72714,129000,0,447200
11,13,0,E09000011,Greenwich,117821,2738,2.3,280000,9,21,72952,184000,0,504500
4,14,0,E09000004,Bexley,110159,1295,1.2,247000,6,11,99700,136000,0,550700
10,15,0,E09000010,Enfield,137622,1957,1.4,336000,12,14,112614,130000,0,636800
31,16,0,E09000031,Waltham Forest,121021,3430,2.8,277000,15,16,73482,144000,0,424400
26,17,0,E09000026,Redbridge,124692,1411,1.1,307000,49,8,99064,155000,0,534100
29,18,0,E09000029,Sutton,97658,2066,2.1,204000,17,6,83122,89000,0,432500
27,19,0,E09000027,Richmond upon Thames,99204,6062,6.1,201000,7,3,74267,232000,0,413800
24,20,0,E09000024,Merton,104822,3524,3.4,210000,19,8,66817,113000,0,378600
32,21,1,E09000032,Wandsworth,178582,13267,7.4,320000,12,6,75351,167000,0,432500
13,22,1,E09000013,Hammersmith and Fulham,99618,7420,7.4,182000,13,12,38525,72000,0,220000
20,23,1,E09000020,Kensington and Chelsea,81387,3955,4.9,157000,8,12,37695,60000,0,206900
33,24,1,E09000033,Westminster,111179,5365,4.8,255000,15,8,41662,119000,0,337600
7,25,1,E09000007,Camden,108966,7072,6.5,250000,13,9,38105,106000,0,279300
30,26,1,E09000030,Tower Hamlets,120873,8112,6.7,311000,48,5,39295,97000,0,287300
19,27,1,E09000019,Islington,106765,10204,9.6,234000,8,11,32165,67000,0,237900
12,28,1,E09000012,Hackney,118556,17312,14.6,277000,10,17,38036,66000,0,271400
14,29,1,E09000014,Haringey,124296,6142,4.9,278000,7,14,58114,122000,0,356600
25,30,1,E09000025,Newham,132454,2239,1.7,346000,41,16,64008,134000,0,430000
2,31,0,E09000002,Barking and Dagenham,75217,1084,1.4,210000,23,20,58740,84000,0,340600
1,32,1,E09000001,City of London,4747,252,5.3,8700,13,3,1337,27000,1,55500